area_code,measure_a,measure_b
E02000560,63.8,26.43068984
E02000561,69.6,17.51918632
E02000562,71,23.77685094
E02000563,65.6,35.92107037
E02000564,65.1,28.14323871
E02000565,65.1,30.05893744
E02000566,70.4,19.40020033
E02000567,70.6,27.7761618
E02000568,59.9,31.37831341
E02000569,68.6,29.22653882
E02000570,70.1,16.2343384
E02000571,68,31.61491777
E02000572,61.4,35.59977106
E02000573,66.6,21.75092433
E02000574,58.5,25.39780704
E02000575,60.4,21.6467025
E02000576,62.7,26.24840668
E02000577,59.2,48.5609448
E02000578,62.7,42.82580601
E02000579,65,30.37523892
E02000580,61.1,35.25206234
E02000581,62.3,41.39443758
E02000582,64.6,16.72524058
E02000583,68.7,16.84167165
E02000584,68.2,11.60091058
E02000585,63.2,16.70170442
E02000586,60.3,9.498918297
E02000587,64.4,11.36996299
E02000588,61,11.11695469
E02000589,56,16.74312407
E02000590,64.9,20.74208059
E02000591,58.6,28.76678579
E02000592,61.6,11.40649681
E02000593,60.8,19.46751883
E02000594,69.8,12.73174549
E02000595,69.1,14.96315698
E02000596,66.6,12.34182748
E02000597,65.7,32.16868196
E02000598,82,6.144264335
E02000599,72.1,7.575964671
E02000600,70.5,8.830271205
E02000601,71,9.207309253
E02000602,68,19.05174009
E02000603,73.2,17.88980914
E02000604,77.5,10.64922986
E02000605,80.6,11.17658767
E02000606,68.6,10.24635652
E02000607,75.3,7.982177686
E02000608,73.1,11.44378552
E02000609,79.6,13.53369676
E02000610,78.5,14.55825624
E02000611,87,5.687776246
E02000612,84.2,9.021012397
E02000613,83,11.42226535
E02000614,76.7,14.95228646
E02000615,82.8,10.27703877
E02000616,85,9.510588321
E02000617,81.9,16.04645766
E02000619,66.1,27.95872657
E02000620,66.6,25.99694504
E02000621,64.2,25.98523783
E02000622,65.1,23.47788107
E02000623,63.3,28.88501672
E02000624,64.8,29.00141729
E02000625,61.6,31.11013462
E02000626,57.8,35.38426617
E02000627,63.2,29.5691329
E02000628,60,38.76461112
E02000629,69.6,22.65602082
E02000630,70,20.47234998
E02000631,71.5,19.12386263
E02000632,68.7,23.35723689
E02000633,63.8,32.63786933
E02000634,65,30.16654975
E02000635,69.1,26.39590974
E02000636,74.2,15.97902881
E02000637,69.9,22.23605673
E02000638,64.7,25.1652432
E02000639,63.6,28.6021468
E02000640,73.2,16.02385891
E02000641,61.4,32.5953004
E02000642,72.8,24.80936701
E02000643,69.2,22.51157217
E02000644,70.1,20.97485869
E02000645,73,22.59827693
E02000646,69.1,19.73400502
E02000647,71.3,19.74020986
E02000648,61.8,34.77551363
E02000649,67.5,24.58144605
E02000650,67.1,31.01599934
E02000651,67.5,21.3245947
E02000652,60.3,20.35834697
E02000653,65.7,27.21123345
E02000654,62.9,34.46425997
E02000655,63.8,32.33255805
E02000657,64.3,26.14080835
E02000658,67.8,24.88318941
E02000659,68.5,22.07216939
E02000660,68.2,24.62350412
E02000661,73.8,16.33983824
E02000662,63.4,23.98974263
E02000663,70.5,20.51843986
E02000664,64.3,34.52040026
E02000665,71.7,20.6207031
E02000666,72.9,21.69424696
E02000667,76.5,15.33854532
